Blue Sm2,Blue Sc2,Blue Sc1,Red Pc2,Red Pm2,Blue Sm1,Red Pi2,Red Pc1,Red Pi1,Red Pm1
136.78413358802092,0,0,148.55946101868062,100.0,136.5768599705506,100.0,148.50185325458966,100.0,100.0
136.70634603811064,0,0,148.4919060753649,100.0,136.48422388103302,100.0,148.46950276040988,100.0,100.0
136.63186808059456,0,0,148.41306475827713,100.0,136.7958684064901,100.0,148.42955370412795,100.0,100.0
136.73651975938358,0,0,148.36374875550618,100.0,136.72785491567458,100.0,148.40065923970585,100.0,100.0
136.8848545583384,0,0,148.31360636162466,100.0,136.86086204503192,100.0,148.39230486287403,100.0,100.0
136.84538881423848,0,0,148.28464403245314,100.0,136.80896943170544,100.0,148.36874569997534,100.0,100.0
137.014994313261,0,0,148.25111724320274,100.0,136.75060891923954,100.0,148.3532471426295,100.0,100.0
136.95842060494607,0,0,148.20129504871417,100.0,136.67981923924083,100.0,148.32821545835714,100.0,100.0
136.91849131902683,0,0,148.19811023944527,100.0,136.63371568131123,100.0,148.30398166872243,100.0,100.0
137.11326643253668,0,0,148.1962845682912,100.0,136.80293673731805,100.0,148.2744618533939,100.0,100.0
137.08264492262356,0,0,148.16544803635134,100.0,136.75319712662917,100.0,148.26708584492246,100.0,100.0
137.067826169232,0,0,148.14867365806649,100.0,136.70717673883053,100.0,148.23534331343532,100.0,100.0
137.0349031033752,0,0,148.10676357288085,100.0,136.6644724098891,100.0,148.17322469683117,100.0,100.0
137.01904451767135,0,0,148.08648641033935,100.0,136.61785651412038,100.0,148.13584463535398,100.0,100.0
137.0024951544344,0,0,148.0433739670754,100.0,136.57482698466143,100.0,148.06493031546222,100.0,100.0
136.96229642972787,0,0,147.99877025214212,100.0,136.52636913319301,100.0,148.00623996837464,100.0,100.0
136.91573467806978,0,0,147.92458501917412,100.0,136.49510711618515,100.0,147.94811577054023,100.0,100.0
136.8726695961833,0,0,147.8837860793597,100.0,136.45357047085693,100.0,147.90037079607575,100.0,100.0
136.81987972612222,0,0,147.84663912739987,100.0,136.430226689262,100.0,147.87116514980644,100.0,100.0
136.79708174790517,0,0,147.83418693902587,100.0,136.60604677813768,100.0,147.84753308214803,100.0,100.0
136.98021474805705,0,0,147.7980116242535,100.0,136.60137154610828,100.0,147.84753308214803,100.0,100.0
136.94632953182534,0,0,147.77638725219012,100.0,136.80198437729896,100.0,147.84753308214803,100.0,100.0
